팀명,1,2,3,4,5,6,7,8,9,10,11,12,R,H,E
kt,0,0,0,0,0,1,0,0,0,,,,1,8,0
한화,0,0,0,1,0,0,2,1,0,,,,4,9,1
NC,0,0,3,0,0,7,0,0,-,,,,10,11,0
KIA,0,0,0,0,5,0,0,0,0,,,,5,14,1
키움,0,0,1,1,5,1,0,5,-,,,,13,16,1
LG,0,0,1,0,0,0,0,0,1,,,,2,6,0
삼성,0,0,0,0,0,0,1,0,0,,,,1,6,0
롯데,0,0,0,0,0,1,0,1,0,,,,2,7,1
두산,2,4,0,1,0,0,1,1,-,,,,9,10,0
SK,0,0,0,0,0,0,0,1,2,,,,3,9,0
kt,0,0,0,0,0,0,0,0,0,,,,0,5,0
kt,1,0,2,0,0,3,2,0,0,1,0,9,15,1,
LG,1,7,0,0,0,0,0,0,0,1,1,10,19,1,
NC,0,0,0,0,0,0,0,1,0,,,,1,4,1
롯데,0,1,2,0,0,2,1,0,-,,,,6,9,0
두산,0,0,0,0,0,0,0,1,0,,,,1,7,0
한화,1,0,1,0,0,0,0,0,-,,,,2,5,1
삼성,0,0,0,0,0,0,0,0,0,,,,0,6,2
KIA,0,0,3,4,0,1,0,0,-,,,,8,9,1
키움,0,0,0,1,0,6,3,5,0,,,,15,23,0
SK,1,0,0,0,0,4,0,0,0,,,,5,8,0
kt,1,0,0,0,1,0,0,0,0,,,,2,6,2
LG,0,0,0,1,2,0,0,0,-,,,,3,7,0
NC,0,0,0,4,0,2,2,0,1,,,,9,18,2
롯데,0,4,0,0,0,1,0,0,0,,,,5,8,1
두산,0,1,0,0,0,0,0,0,0,,,,1,7,0
한화,2,0,0,2,0,0,0,0,-,,,,4,5,0
삼성,3,1,2,1,0,0,0,1,2,,,,10,15,0
KIA,1,0,0,0,1,0,0,0,0,,,,2,11,1
키움,0,0,0,0,0,0,0,0,0,,,,0,6,1
SK,0,0,0,0,0,0,0,2,-,,,,2,5,1
kt,1,1,1,1,0,0,0,0,0,,,,4,10,1
LG,0,0,3,0,1,0,0,1,-,,,,5,15,0
NC,1,0,0,0,1,1,0,3,0,,,,0,0,1
롯데,1,1,0,0,0,0,0,2,2,,,,0,0,0
두산,1,0,0,0,0,0,4,0,0,,,,5,9,1
한화,1,0,0,0,0,3,0,0,0,,,,4,9,1
삼성,0,0,0,0,0,1,0,0,0,,,,1,5,1
KIA,5,0,1,0,1,0,1,0,-,,,,8,10,0
키움,1,0,2,0,4,3,0,0,0,,,,10,16,1
SK,2,0,0,5,0,0,0,1,0,,,,8,12,0
KIA,0,6,0,1,0,0,0,0,1,,,,8,9,0
NC,0,2,0,0,2,0,0,0,0,,,,4,9,1
kt,0,0,0,0,0,1,0,3,1,,,,5,8,1
한화,1,0,0,0,0,0,1,2,0,,,,4,7,2
LG,0,0,0,0,1,1,0,0,0,,,,2,13,0
두산,0,1,0,5,0,0,0,1,-,,,,7,15,0
SK,0,0,0,0,5,0,5,1,0,,,,11,16,3
롯데,0,0,3,0,0,0,1,3,0,,,,7,15,2
삼성,2,0,0,0,0,0,1,0,0,,,,3,8,0
키움,0,2,0,0,0,0,1,5,-,,,,8,13,1
KIA,0,0,0,0,0,0,0,0,1,,,,1,5,1
NC,0,0,0,0,0,0,2,2,-,,,,4,8,0
kt,0,0,0,1,0,5,3,0,0,,,,9,14,0
한화,0,0,2,0,3,0,1,1,3,,,,10,16,0
LG,0,1,0,1,0,0,0,0,0,,,,2,8,1
두산,0,1,0,1,0,1,0,0,-,,,,3,9,2
SK,0,0,0,0,7,1,0,0,2,,,,10,14,0
